Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
1,345,1,16.29,1,1,2,112,4,At Risk/Churn
2,196,2,22.77,2,3,2,232,7,Loyal Customers
3,335,1,10.92,1,1,2,112,4,At Risk/Churn
4,55,2,33.29,3,3,3,333,9,Champions
5,121,5,78.82,3,4,4,344,11,Champions
6,276,1,25.55,1,1,3,113,5,At Risk/Churn
7,236,1,17.84,2,1,2,212,5,At Risk/Churn
8,194,1,9.78,2,1,1,211,4,At Risk/Churn
9,287,1,15.75,1,1,2,112,4,At Risk/Churn
10,30,1,110.31,4,1,4,414,9,Champions
11,338,1,6.35,1,1,1,111,3,At Risk/Churn
12,184,1,21.0,2,1,2,212,5,At Risk/Churn
13,60,2,53.24,3,3,3,333,9,Champions
14,289,4,308.43,1,4,4,144,9,Champions
15,122,1,3.82,2,1,1,211,4,At Risk/Churn
16,258,2,62.160000000000004,1,3,3,133,7,Loyal Customers
17,61,2,31.84,3,3,3,333,9,Champions
18,347,1,1.9,1,1,1,111,3,At Risk/Churn
19,263,1,99.94999999999999,1,1,4,114,6,Loyal Customers
20,92,4,28.25,3,4,3,343,10,Champions
21,288,1,9.35,1,1,1,111,3,At Risk/Churn
22,352,1,6.75,1,1,1,111,3,At Risk/Churn
23,102,1,1.84,3,1,1,311,5,At Risk/Churn
24,30,2,57.17,4,3,3,433,10,Champions
25,311,2,7.98,1,3,1,131,5,At Risk/Churn
26,182,4,100.87,2,4,4,244,10,Champions
27,130,1,14.629999999999999,2,1,2,212,5,At Risk/Churn
28,344,1,28.69,1,1,3,113,5,At Risk/Churn
29,181,1,13.83,2,1,2,212,5,At Risk/Churn
30,259,2,86.26,1,3,4,134,8,Loyal Customers
31,286,1,7.16,1,1,1,111,3,At Risk/Churn
32,253,2,5.3100000000000005,1,3,1,131,5,At Risk/Churn
33,152,2,56.21,2,3,3,233,8,Loyal Customers
34,285,1,6.35,1,1,1,111,3,At Risk/Churn
35,342,1,4.71,1,1,1,111,3,At Risk/Churn
36,263,1,112.9,1,1,4,114,6,Loyal Customers
37,365,1,2.49,1,1,1,111,3,At Risk/Churn
38,360,2,12.620000000000001,1,3,2,132,6,Loyal Customers
39,153,1,10.98,2,1,2,212,5,At Risk/Churn
40,274,1,141.87,1,1,4,114,6,Loyal Customers
41,31,1,22.03,4,1,2,412,7,Loyal Customers
42,100,2,30.349999999999998,3,3,3,333,9,Champions
43,263,2,36.31,1,3,3,133,7,Loyal Customers
44,30,7,152.76,4,4,4,444,12,Champions
45,201,2,57.22,2,3,3,233,8,Loyal Customers
46,291,3,100.72,1,3,4,134,8,Loyal Customers
47,130,4,18.919999999999998,2,4,2,242,8,Loyal Customers
48,60,2,259.96,3,3,4,334,10,Champions
49,291,1,12.34,1,1,2,112,4,At Risk/Churn
50,184,3,35.59,2,3,3,233,8,Loyal Customers
51,61,2,40.85,3,3,3,333,9,Champions
52,60,4,17.93,3,4,2,342,9,Champions
53,276,1,8.65,1,1,1,111,3,At Risk/Churn
54,184,2,15.96,2,3,2,232,7,Loyal Customers
55,31,2,26.959999999999997,4,3,3,433,10,Champions
56,182,2,10.83,2,3,2,232,7,Loyal Customers
57,183,4,50.64,2,4,3,243,9,Champions
58,274,1,5.79,1,1,1,111,3,At Risk/Churn
59,182,2,11.399999999999999,2,3,2,232,7,Loyal Customers
60,275,1,6.24,1,1,1,111,3,At Risk/Churn
61,309,1,12.42,1,1,2,112,4,At Risk/Churn
62,281,1,12.610000000000001,1,1,2,112,4,At Risk/Churn
63,243,2,48.42,2,3,3,233,8,Loyal Customers
64,309,1,176.37,1,1,4,114,6,Loyal Customers
65,31,4,72.16,4,4,4,444,12,Champions
66,59,1,23.83,3,1,2,312,6,Loyal Customers
67,199,1,86.42,2,1,4,214,7,Loyal Customers
68,182,1,16.91,2,1,2,212,5,At Risk/Churn
